Trait,Database,Pathway_ID,Pathway_Name,GeneRatio,BgRatio,Gene_Count,P_value,FDR,Q_value,FDR_Significant_0.05,N_Traits_FDR_Significant,Traits_FDR_Significant,Entrez_Gene_IDs
Arm FFM,GO Biological Process,GO:0061448,connective tissue development,18/294,290/18986,18,6.81244959577986e-07,0.0014785873876977,0.0012411118432894,True,4,Arm FFM;Leg FFM;Trunk FFM;Whole-body FFM,EFEMP1/MSX1/PRKG2/GHR/PITX1/BMP6/ID4/UNCX/STC1/TRPS1/CCN3/ARID5B/SOX5/CRIP1/SMAD3/PKD1/FTO/GDF5
Arm FFM,GO Biological Process,GO:0035264,multicellular organism growth,13/294,158/18986,13,1.12600456013575e-06,0.0014785873876977,0.0012411118432894,True,4,Arm FFM;Leg FFM;Trunk FFM;Whole-body FFM,MTOR/GIGYF2/GHR/STC2/PLEC/PTCH1/ARID5B/PLEKHA1/SOCS2/FTO/TP53/GH1/GDF5
Arm FFM,GO Biological Process,GO:0051384,response to glucocorticoid,12/294,134/18986,12,1.19176844790256e-06,0.0014785873876977,0.0012411118432894,True,4,Arm FFM;Leg FFM;Trunk FFM;Whole-body FFM,IL1RN/CPS1/REST/GHR/SLIT3/BMP6/BCKDHB/FOXO3/CALCR/STC1/PAPPA/FLT3
Arm FFM,GO Biological Process,GO:0045664,regulation of neuron differentiation,14/294,194/18986,14,2.09998533442421e-06,0.0019540363536817,0.0016401990717292,True,4,Arm FFM;Leg FFM;Trunk FFM;Whole-body FFM,CASZ1/EIF4G1/ETV5/REST/BMP6/ID4/FOXO3/HEY2/RELN/DDX6/SOCS2/EDNRB/ZNF536/GDF5
Arm FFM,GO Biological Process,GO:0051216,cartilage development,14/294,209/18986,14,5.01660032810033e-06,0.0036453786575942,0.0030598953182328,True,3,Arm FFM;Trunk FFM;Whole-body FFM,EFEMP1/MSX1/PRKG2/GHR/PITX1/BMP6/UNCX/STC1/TRPS1/CCN3/SOX5/SMAD3/PKD1/GDF5
Arm FFM,GO Biological Process,GO:0035270,endocrine system development,11/294,138/18986,11,1.02668223901439e-05,0.004812743776061,0.0040397702218244,True,1,Arm FFM,PITX1/BMP6/BAK1/CDK6/ZNF800/LHX3/ARID5B/SMAD3/NF1/INSR/GIPR
Arm FFM,GO Biological Process,GO:0032332,positive regulation of chondrocyte differentiation,5/294,20/18986,5,1.10255615616404e-05,0.004812743776061,0.0040397702218244,True,3,Arm FFM;Leg FFM;Whole-body FFM,PRKG2/BMP6/SOX5/SMAD3/GDF5
Arm FFM,GO Biological Process,GO:0042063,gliogenesis,18/294,355/18986,18,1.16374782333555e-05,0.004812743776061,0.0040397702218244,True,3,Arm FFM;Leg FFM;Whole-body FFM,MTOR/TGFB2/PPP3R1/ETV5/VCAN/ID4/ADGRG6/CDK6/RELN/PLEC/PARD3/PTPRJ/ANO1/METTL3/ACAN/ATP1B2/TP53/NF1
Arm FFM,GO Biological Process,GO:1902893,regulation of miRNA transcription,8/294,76/18986,8,2.27601926962466e-05,0.0071754387369825,0.0060229933457858,True,4,Arm FFM;Leg FFM;Trunk FFM;Whole-body FFM,TGFB2/REST/FOXO3/ESR1/NCOR2/SMAD6/SMAD3/TP53
Arm FFM,GO Biological Process,GO:0061614,miRNA transcription,8/294,77/18986,8,2.50619837669998e-05,0.0071754387369825,0.0060229933457858,True,4,Arm FFM;Leg FFM;Trunk FFM;Whole-body FFM,TGFB2/REST/FOXO3/ESR1/NCOR2/SMAD6/SMAD3/TP53
Arm FFM,GO Biological Process,GO:0010586,miRNA metabolic process,9/294,110/18986,9,5.36178429243813e-05,0.0142546865260391,0.0119652449473356,True,4,Arm FFM;Leg FFM;Trunk FFM;Whole-body FFM,TGFB2/DIS3L2/REST/FOXO3/ESR1/NCOR2/SMAD6/SMAD3/TP53
Arm FFM,GO Biological Process,GO:0040014,regulation of multicellular organism growth,7/294,65/18986,7,6.41996407531363e-05,0.0158677432533999,0.0133192290438335,True,4,Arm FFM;Leg FFM;Trunk FFM;Whole-body FFM,GHR/STC2/PTCH1/SOCS2/FTO/GH1/GDF5
Arm FFM,GO Biological Process,GO:0022011,myelination in peripheral nervous system,5/294,29/18986,5,7.53380921044053e-05,0.0158677432533999,0.0133192290438335,True,1,Arm FFM,PPP3R1/ADGRG6/PLEC/PARD3/NF1
Arm FFM,GO Biological Process,GO:0032292,peripheral nervous system axon ensheathment,5/294,29/18986,5,7.53380921044053e-05,0.0158677432533999,0.0133192290438335,True,2,Arm FFM;Trunk FFM,PPP3R1/ADGRG6/PLEC/PARD3/NF1
Arm FFM,GO Biological Process,GO:2000628,regulation of miRNA metabolic process,8/294,92/18986,8,9.07538523246205e-05,0.0164037701861826,0.0137691648272265,True,2,Arm FFM;Whole-body FFM,TGFB2/REST/FOXO3/ESR1/NCOR2/SMAD6/SMAD3/TP53
Arm FFM,GO Biological Process,GO:0071214,cellular response to abiotic stimulus,16/294,342/18986,16,9.25521692396119e-05,0.0164037701861826,0.0137691648272265,True,4,Arm FFM;Leg FFM;Trunk FFM;Whole-body FFM,MTOR/CAMKMT/REST/PIK3R1/BMP6/BAK1/PLEC/HABP4/CCND2/CRADD/METTL3/CRIP1/PIEZO1/TP53/KCNJ2/RPTOR
Arm FFM,GO Biological Process,GO:0104004,cellular response to environmental stimulus,16/294,342/18986,16,9.25521692396119e-05,0.0164037701861826,0.0137691648272265,True,4,Arm FFM;Leg FFM;Trunk FFM;Whole-body FFM,MTOR/CAMKMT/REST/PIK3R1/BMP6/BAK1/PLEC/HABP4/CCND2/CRADD/METTL3/CRIP1/PIEZO1/TP53/KCNJ2/RPTOR
Arm FFM,GO Biological Process,GO:0071692,protein localization to extracellular region,17/294,382/18986,17,0.0001032195178636,0.0174628657040288,0.0146581592832256,True,3,Arm FFM;Leg FFM;Trunk FFM,TGFB2/LTBP1/IL1RN/ACVR2B/COPG1/CWH43/REST/BMP6/TFAP2B/OPRM1/CCN3/DNAJC1/ANO1/EDNRB/FBN1/MC4R/GIPR
Arm FFM,GO Biological Process,GO:0022602,ovulation cycle process,6/294,50/18986,6,0.0001174360130222,0.0178794633024939,0.0150078472473209,True,1,Arm FFM,TGFB2/GPR149/SLIT3/FOXO3/ESR1/PLEKHA1
Arm FFM,GO Biological Process,GO:0035107,appendage morphogenesis,10/294,151/18986,10,0.0001248968419841,0.0178794633024939,0.0150078472473209,True,2,Arm FFM;Trunk FFM,ECE1/TGFB2/MBNL1/MSX1/PITX1/BAK1/TFAP2B/GNA12/PTCH1/GDF5
Arm FFM,GO Biological Process,GO:0035108,limb morphogenesis,10/294,151/18986,10,0.0001248968419841,0.0178794633024939,0.0150078472473209,True,2,Arm FFM;Trunk FFM,ECE1/TGFB2/MBNL1/MSX1/PITX1/BAK1/TFAP2B/GNA12/PTCH1/GDF5
Arm FFM,GO Biological Process,GO:0001952,regulation of cell-matrix adhesion,9/294,125/18986,9,0.0001443089468527,0.0182878690251264,0.0153506590306782,True,2,Arm FFM;Whole-body FFM,MACF1/CLASP2/PIK3R1/PKHD1/CDK6/PTPRJ/SMAD3/NF1/SKAP1
Arm FFM,GO Biological Process,GO:0071496,cellular response to external stimulus,7/294,75/18986,7,0.0001604529293186,0.0183651751608819,0.0154155490476251,True,1,Arm FFM,BMP6/BAK1/PLEC/HABP4/CRADD/PIEZO1/KCNJ2
Arm FFM,GO Biological Process,GO:0006413,translational initiation,9/294,127/18986,9,0.0001628293337746,0.0183651751608819,0.0154155490476251,True,3,Arm FFM;Trunk FFM;Whole-body FFM,MTOR/GIGYF2/EIF4G1/SLBP/BANK1/HABP4/MTIF3/METTL3/KLHL25
Arm FFM,GO Biological Process,GO:0031589,cell-substrate adhesion,16/294,361/18986,16,0.0001723177642421,0.0188637270149789,0.015834028615192,True,1,Arm FFM,MACF1/LAMC1/CLASP2/DMP1/PIK3R1/RREB1/PKHD1/CDK6/HSD17B12/PTPRJ/SMAD6/SMAD3/PKD1/ATP1B2/NF1/SKAP1
Arm FFM,GO Biological Process,GO:0090092,regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,15/294,326/18986,15,0.0001831314273684,0.0194747192190131,0.0163468895166806,True,1,Arm FFM,TGFB2/LTBP1/ACVR2B/MSX1/BMP6/TFAP2B/CCN3/HSPA5/TET1/FBN1/SMAD6/SMAD3/AXIN1/TP53/GDF5
Arm FFM,GO Biological Process,GO:0000082,G1/S transition of mitotic cell cycle,13/294,256/18986,13,0.0001891382677946,0.0195480132750951,0.0164084118330502,True,4,Arm FFM;Leg FFM;Trunk FFM;Whole-body FFM,GIGYF2/EIF4G1/ID4/CCND3/CDK6/CCND2/E2F7/CRADD/PKD1/RBL2/TP53/RPTOR/CCNE1
Arm FFM,GO Biological Process,GO:2000045,regulation of G1/S transition of mitotic cell cycle,11/294,191/18986,11,0.0001998528710026,0.0195480132750951,0.0164084118330502,True,3,Arm FFM;Leg FFM;Whole-body FFM,GIGYF2/EIF4G1/CCND3/CCND2/E2F7/CRADD/PKD1/RBL2/TP53/RPTOR/CCNE1
Arm FFM,GO Biological Process,GO:0045927,positive regulation of growth,13/294,259/18986,13,0.0002119741519767,0.0195480132750951,0.0164084118330502,True,3,Arm FFM;Trunk FFM;Whole-body FFM,MTOR/MACF1/TGFB2/EIF4G1/EXOSC9/GHR/HEY2/BDNF/MIR17HG/MAP2K5/GH1/RPTOR/INSR
Arm FFM,GO Biological Process,GO:0001558,regulation of cell growth,17/294,408/18986,17,0.0002258368003302,0.0195480132750951,0.0164084118330502,True,2,Arm FFM;Whole-body FFM,MTOR/MACF1/TGFB2/CLASP2/DCBLD2/EIF4G1/MSX1/EXOSC9/SLIT3/CCN3/BDNF/PTPRJ/SOCS2/SMAD3/MAP2K5/TP53/RPTOR
Arm FFM,GO Biological Process,GO:0048511,rhythmic process,14/294,299/18986,14,0.000250298320744,0.0207024522179873,0.0173774366308398,True,2,Arm FFM;Whole-body FFM,MTOR/DTL/TGFB2/GPR149/SLIT3/FOXO3/ESR1/NFIL3/PRKG1/PLEKHA1/KDM2A/NCOR2/METTL3/TP53
Arm FFM,GO Biological Process,GO:0042593,glucose homeostasis,13/294,265/18986,13,0.0002648109239188,0.0213365878412278,0.0179097238928601,True,4,Arm FFM;Leg FFM;Trunk FFM;Whole-body FFM,GCKR/PIK3R1/FGFR4/FOXO3/MLXIPL/PTCH1/PTPRJ/ANO1/FBN1/SMAD3/RPTOR/INSR/ICAM1
Arm FFM,GO Biological Process,GO:0033500,carbohydrate homeostasis,13/294,266/18986,13,0.0002746297023603,0.0213365878412278,0.0179097238928601,True,3,Arm FFM;Leg FFM;Whole-body FFM,GCKR/PIK3R1/FGFR4/FOXO3/MLXIPL/PTCH1/PTPRJ/ANO1/FBN1/SMAD3/RPTOR/INSR/ICAM1
Arm FFM,GO Biological Process,GO:0045926,negative regulation of growth,12/294,232/18986,12,0.0002808954336969,0.0213365878412278,0.0179097238928601,True,2,Arm FFM;Whole-body FFM,TGFB2/DCBLD2/MSX1/SLIT3/STC2/CCN3/PTCH1/PTPRJ/SOCS2/MIR17HG/SMAD3/TP53
Arm FFM,GO Biological Process,GO:0060416,response to growth hormone,5/294,39/18986,5,0.000321870382103,0.0238779277117072,0.0200428998128756,True,2,Arm FFM;Whole-body FFM,CPS1/GHR/PIK3R1/SOCS2/GH1
Arm FFM,GO Biological Process,GO:0007204,positive regulation of cytosolic calcium ion concentration,10/294,170/18986,10,0.0003271827816488,0.0238779277117072,0.0200428998128756,True,2,Arm FFM;Leg FFM,GNAT2/BAK1/ESR1/OPRM1/CALCR/PRKG1/EDNRB/PKD1/GALR1/GIPR
Arm FFM,GO Biological Process,GO:0018108,peptidyl-tyrosine phosphorylation,11/294,204/18986,11,0.000352234408622,0.024736159790403,0.020763291455617,True,2,Arm FFM;Leg FFM,MTOR/EFEMP1/BANK1/GHR/FGFR4/BMP6/RELN/PTPRJ/FLT3/TP53/INSR
Arm FFM,GO Biological Process,GO:0043491,phosphatidylinositol 3-kinase/protein kinase B signal transduction,14/294,317/18986,14,0.0004510728885605,0.0284046418282236,0.0238425795260521,True,4,Arm FFM;Leg FFM;Trunk FFM;Whole-body FFM,MTOR/TGFB2/PTPN13/BANK1/PIK3R1/PKHD1/CALCR/RELN/PLEKHA1/PTPRJ/FLT3/NF1/GH1/INSR
Arm FFM,GO Biological Process,GO:0030813,positive regulation of nucleotide catabolic process,4/294,25/18986,4,0.0005512809991629,0.0311980772245854,0.0261873619736332,True,2,Arm FFM;Trunk FFM,MTOR/MLXIPL/RPTOR/INSR
Arm FFM,GO Biological Process,GO:0033123,positive regulation of purine nucleotide catabolic process,4/294,25/18986,4,0.0005512809991629,0.0311980772245854,0.0261873619736332,True,2,Arm FFM;Trunk FFM,MTOR/MLXIPL/RPTOR/INSR
Arm FFM,GO Biological Process,GO:0045821,positive regulation of glycolytic process,4/294,25/18986,4,0.0005512809991629,0.0311980772245854,0.0261873619736332,True,2,Arm FFM;Trunk FFM,MTOR/MLXIPL/RPTOR/INSR
Arm FFM,GO Biological Process,GO:1903689,"regulation of wound healing, spreading of epidermal cells",3/294,11/18986,3,0.0005530670160292,0.0311980772245854,0.0261873619736332,True,3,Arm FFM;Trunk FFM;Whole-body FFM,MTOR/CLASP2/RREB1
Arm FFM,GO Biological Process,GO:0050673,epithelial cell proliferation,18/294,482/18986,18,0.0005532168449281,0.0311980772245854,0.0261873619736332,True,4,Arm FFM;Leg FFM;Trunk FFM;Whole-body FFM,LAMC1/TGFB2/RREB1/BMP6/BAK1/PKHD1/ESR1/CDK6/PEX2/CCN3/PTCH1/EDNRB/SMAD3/MAP2K5/RASGRF1/NF1/RPTOR/GDF5
Arm FFM,GO Biological Process,GO:0044843,cell cycle G1/S phase transition,13/294,287/18986,13,0.0005656090329118,0.0314208480671302,0.0263743536477961,True,4,Arm FFM;Leg FFM;Trunk FFM;Whole-body FFM,GIGYF2/EIF4G1/ID4/CCND3/CDK6/CCND2/E2F7/CRADD/PKD1/RBL2/TP53/RPTOR/CCNE1
Arm FFM,GO Biological Process,GO:0051223,regulation of protein transport,17/294,446/18986,17,0.0006248925394673,0.0324999085823151,0.0272801065279876,True,1,Arm FFM,SEC16B/RAB29/PTPN14/TGFB2/CWH43/REST/ICE1/PIK3R1/BMP6/TFAP2B/OPRM1/CCN3/DNAJC1/ANO1/SMAD3/NF1/GIPR
Arm FFM,GO Biological Process,GO:0060396,growth hormone receptor signaling pathway,4/294,26/18986,4,0.0006436324216987,0.0324999085823151,0.0272801065279876,True,2,Arm FFM;Whole-body FFM,GHR/PIK3R1/SOCS2/GH1
Arm FFM,GO Biological Process,GO:1902806,regulation of cell cycle G1/S phase transition,11/294,220/18986,11,0.0006638703457311,0.0324999085823151,0.0272801065279876,True,3,Arm FFM;Leg FFM;Whole-body FFM,GIGYF2/EIF4G1/CCND3/CCND2/E2F7/CRADD/PKD1/RBL2/TP53/RPTOR/CCNE1
Arm FFM,GO Biological Process,GO:0016049,cell growth,18/294,490/18986,18,0.0006695980075979,0.0324999085823151,0.0272801065279876,True,2,Arm FFM;Whole-body FFM,MTOR/MACF1/TGFB2/CLASP2/DCBLD2/EIF4G1/MSX1/EXOSC9/SLIT3/CCN3/PRKG1/BDNF/PTPRJ/SOCS2/SMAD3/MAP2K5/TP53/RPTOR
Arm FFM,GO Biological Process,GO:1990573,potassium ion import across plasma membrane,5/294,46/18986,5,0.0007015762911836,0.0324999085823151,0.0272801065279876,True,4,Arm FFM;Leg FFM;Trunk FFM;Whole-body FFM,KCNH2/SLC12A4/ATP1B2/KCNJ2/KCNJ15
Arm FFM,GO Biological Process,GO:0031669,cellular response to nutrient levels,12/294,257/18986,12,0.0007019038196633,0.0324999085823151,0.0272801065279876,True,2,Arm FFM;Trunk FFM,MTOR/EIF4G1/FOXO3/MLXIPL/HSPA5/RXRA/GCN1/ZFYVE1/TNRC6A/TP53/RPTOR/MTMR3
Arm FFM,GO Biological Process,GO:0009612,response to mechanical stimulus,11/294,222/18986,11,0.0007154072065948,0.0324999085823151,0.0272801065279876,True,1,Arm FFM,REST/BMP6/BAK1/PLEC/PTCH1/HABP4/CRADD/PKD1/PIEZO1/KCNJ2/GDF5
Arm FFM,GO Biological Process,GO:0003181,atrioventricular valve morphogenesis,4/294,27/18986,4,0.0007464328884188,0.0324999085823151,0.0272801065279876,True,2,Arm FFM;Whole-body FFM,TGFB2/SLIT3/HEY2/SMAD6
Arm FFM,GO Biological Process,GO:0071378,cellular response to growth hormone stimulus,4/294,27/18986,4,0.0007464328884188,0.0324999085823151,0.0272801065279876,True,1,Arm FFM,GHR/PIK3R1/SOCS2/GH1
Arm FFM,GO Biological Process,GO:0035592,establishment of protein localization to extracellular region,15/294,374/18986,15,0.0007745311927415,0.0329840342581814,0.0276864769021416,True,3,Arm FFM;Leg FFM;Trunk FFM,TGFB2/LTBP1/IL1RN/ACVR2B/COPG1/REST/BMP6/TFAP2B/OPRM1/CCN3/DNAJC1/ANO1/EDNRB/MC4R/GIPR
Arm FFM,GO Biological Process,GO:0001503,ossification,17/294,456/18986,17,0.0007989390003294,0.033411808530631,0.0280455464574543,True,4,Arm FFM;Leg FFM;Trunk FFM;Whole-body FFM,ACVR2B/REST/DMP1/VCAN/BMP6/ID4/CDK6/CALCR/STC1/MMP16/CCN3/PTCH1/RXRA/SMAD6/SMAD3/NF1/GDF5
Arm FFM,GO Biological Process,GO:0021510,spinal cord development,7/294,100/18986,7,0.0009322465290615,0.0356939632725437,0.0299611649065047,True,2,Arm FFM;Whole-body FFM,GIGYF2/UNCX/RELN/PTCH1/LHX3/PKD1/NF1
Arm FFM,GO Biological Process,GO:0032341,aldosterone metabolic process,3/294,13/18986,3,0.0009368701232742,0.0356939632725437,0.0299611649065047,True,4,Arm FFM;Leg FFM;Trunk FFM;Whole-body FFM,REST/BMP6/EDNRB
Arm FFM,GO Biological Process,GO:0042594,response to starvation,11/294,230/18986,11,0.0009560272358631,0.0359427613321469,0.0301700035730117,True,3,Arm FFM;Trunk FFM;Whole-body FFM,MTOR/CPS1/FOXO3/PEX2/HSPA5/GCN1/ZFYVE1/TNRC6A/TP53/RPTOR/MTMR3
Arm FFM,GO Biological Process,GO:0003281,ventricular septum development,6/294,74/18986,6,0.0010043117902383,0.0370103810224462,0.0310661531362935,True,1,Arm FFM,LUZP1/TGFB2/SLIT3/HEY2/MIR17HG/SMAD6
Arm FFM,GO Biological Process,GO:0060411,cardiac septum morphogenesis,6/294,74/18986,6,0.0010043117902383,0.0370103810224462,0.0310661531362935,True,1,Arm FFM,TGFB2/SLIT3/HEY2/MIR17HG/SMAD6/TP53
Arm FFM,GO Biological Process,GO:0150115,cell-substrate junction organization,7/294,103/18986,7,0.0011095059934609,0.0394621769566865,0.0331241667489028,True,3,Arm FFM;Leg FFM;Whole-body FFM,MACF1/LAMC1/CLASP2/PIK3R1/PLEC/PTPRJ/SMAD3
Arm FFM,GO Biological Process,GO:2000177,regulation of neural precursor cell proliferation,7/294,103/18986,7,0.0011095059934609,0.0394621769566865,0.0331241667489028,True,2,Arm FFM;Trunk FFM,PTBP2/VCAN/ID4/FOXO3/ACAN/TP53/NF1
Arm FFM,GO Biological Process,GO:0097191,extrinsic apoptotic signaling pathway,11/294,236/18986,11,0.0011774516961434,0.0406240129816756,0.0340994005853144,True,2,Arm FFM;Whole-body FFM,FAF1/TGFB2/PIK3R1/BAK1/FOXO3/FAIM2/CRADD/SMAD3/MAP2K5/NF1/ICAM1
Arm FFM,GO Biological Process,GO:0008212,mineralocorticoid metabolic process,3/294,14/18986,3,0.0011787730795327,0.0406240129816756,0.0340994005853144,True,3,Arm FFM;Leg FFM;Whole-body FFM,REST/BMP6/EDNRB
Arm FFM,GO Biological Process,GO:0002244,hematopoietic progenitor cell differentiation,8/294,135/18986,8,0.0012201014951257,0.0409447788133952,0.034368648298356,True,3,Arm FFM;Leg FFM;Whole-body FFM,REST/AP3B1/CDK6/ZFAT/FLT3/METTL3/CIAO3/TP53
Arm FFM,GO Biological Process,GO:0042327,positive regulation of phosphorylation,17/294,479/18986,17,0.0013624722231555,0.044483522934957,0.0373390356262769,True,3,Arm FFM;Trunk FFM;Whole-body FFM,MTOR/TGFB2/EIF4G1/BANK1/GHR/BMP6/CCND3/RELN/PTPRJ/CCND2/FLT3/FBN1/AXIN1/TP53/GH1/RPTOR/INSR
Arm FFM,GO Biological Process,GO:0061351,neural precursor cell proliferation,9/294,171/18986,9,0.0014177276328589,0.0454895021508715,0.0381834447760928,True,4,Arm FFM;Leg FFM;Trunk FFM;Whole-body FFM,PTBP2/VCAN/CEP120/ID4/FOXO3/SOX5/ACAN/TP53/NF1
Arm FFM,GO Biological Process,GO:1902692,regulation of neuroblast proliferation,5/294,54/18986,5,0.0014637537034894,0.0455107261095835,0.0382012599601922,True,1,Arm FFM,VCAN/ID4/ACAN/TP53/NF1
Arm FFM,GO Biological Process,GO:0045778,positive regulation of ossification,5/294,55/18986,5,0.0015900475294097,0.0485694019374888,0.0407686826410438,True,1,Arm FFM,ACVR2B/BMP6/CCN3/RXRA/SMAD3
Arm FFM,GO Biological Process,GO:0043045,epigenetic programming of gene expression,4/294,33/18986,4,0.0016181101129093,0.0485694019374888,0.0407686826410438,True,1,Arm FFM,ZDBF2/DNMT3A/TET1/AXIN1
Arm FFM,GO Biological Process,GO:0097152,mesenchymal cell apoptotic process,3/294,16/18986,3,0.0017723897937454,0.0511382543590729,0.0429249523283262,False,1,Leg FFM,MSX1/ETV6/GDF5
Arm FFM,GO Biological Process,GO:0055075,potassium ion homeostasis,4/294,34/18986,4,0.0018117648075632,0.0517904180177994,0.0434723721476367,False,0,,KCNH2/SLC12A4/ATP1B2/KCNJ2
Arm FFM,GO Biological Process,GO:2000736,regulation of stem cell differentiation,6/294,84/18986,6,0.0019380153458817,0.0546461599800887,0.045869454119433,False,0,,TGFB2/REST/CDK6/KDM4C/SOX5/METTL3
Arm FFM,GO Biological Process,GO:0060840,artery development,7/294,116/18986,7,0.0022035340110325,0.0601454459811803,0.0504855011940788,False,0,,LUZP1/TGFB2/ACVR2B/TFAP2B/HEY2/SMAD6/NF1
Arm FFM,GO Biological Process,GO:0034405,response to fluid shear stress,4/294,36/18986,4,0.0022461625447028,0.0601454459811803,0.0504855011940788,False,0,,PLEC/SMAD6/MAP2K5/PKD1
Arm FFM,GO Biological Process,GO:1902745,positive regulation of lamellipodium organization,4/294,36/18986,4,0.0022461625447028,0.0601454459811803,0.0504855011940788,False,2,Trunk FFM;Whole-body FFM,MTOR/PIK3R1/RREB1/PLCE1
Arm FFM,GO Biological Process,GO:1903580,positive regulation of ATP metabolic process,4/294,36/18986,4,0.0022461625447028,0.0601454459811803,0.0504855011940788,False,0,,MTOR/MLXIPL/RPTOR/INSR
Arm FFM,GO Biological Process,GO:0007422,peripheral nervous system development,6/294,87/18986,6,0.0023167879846194,0.0611566303457702,0.0513342794949648,False,1,Trunk FFM,PPP3R1/ADGRG6/PLEC/PARD3/EDNRB/NF1
Arm FFM,GO Biological Process,GO:0051960,regulation of nervous system development,16/294,463/18986,16,0.0024413467308059,0.0639907924792937,0.0537132475688067,False,3,Leg FFM;Trunk FFM;Whole-body FFM,MTOR/MACF1/ETV5/REST/PTPN13/VCAN/ID4/HEY2/OPRM1/RELN/LINGO2/PARD3/BDNF/ACAN/TP53/NF1
Arm FFM,GO Biological Process,GO:0033627,cell adhesion mediated by integrin,6/294,89/18986,6,0.0025985940297052,0.0662463491682386,0.0556065398714139,False,0,,TGFB2/CCN3/FBN1/PIEZO1/SKAP1/ICAM1
Arm FFM,GO Biological Process,GO:0032355,response to estradiol,7/294,120/18986,7,0.002668549443703,0.0675669457786576,0.0567150357959942,False,1,Trunk FFM,DNMT3A/GHR/ESR1/PTCH1/SOCS2/NCOR2/GH1
Arm FFM,GO Biological Process,GO:1900181,negative regulation of protein localization to nucleus,4/294,38/18986,4,0.0027474214210496,0.0681726835276459,0.0572234861591259,False,0,,MTOR/ILRUN/MARK3/NF1
Arm FFM,GO Biological Process,GO:0008356,asymmetric cell division,3/294,19/18986,3,0.0029633801099212,0.0711593598008181,0.0597304731154241,False,0,,ETV5/PARD3/SOX5
Arm FFM,GO Biological Process,GO:0062012,regulation of small molecule metabolic process,13/294,348/18986,13,0.0031647069376205,0.0755066616783576,0.0633795559437103,False,1,Trunk FFM,MTOR/GCKR/REST/FGFR4/BMP6/MLXIPL/PRKG1/NCOR2/KLHL25/PGP/TP53/RPTOR/INSR
Arm FFM,GO Biological Process,GO:0032094,response to food,4/294,40/18986,4,0.0033203371287537,0.0768186807359534,0.0644808519540455,False,1,Trunk FFM,CPS1/GHR/PLEC/FBN1
Arm FFM,GO Biological Process,GO:0006098,pentose-phosphate shunt,3/294,20/18986,3,0.0034467274806298,0.0768186807359534,0.0644808519540455,False,0,,MTOR/TP53/RPTOR
Arm FFM,GO Biological Process,GO:0043470,regulation of carbohydrate catabolic process,5/294,66/18986,5,0.0035592368204596,0.0783874523417217,0.0657976635510704,False,0,,MTOR/MLXIPL/TP53/RPTOR/INSR
Arm FFM,GO Biological Process,GO:0032790,ribosome disassembly,4/294,41/18986,4,0.0036351301491479,0.0795879671478157,0.0668053639793877,False,0,,GIGYF2/ASCC3/GCN1/MTIF3
Arm FFM,GO Biological Process,GO:0141091,transforming growth factor beta receptor superfamily signaling pathway,14/294,397/18986,14,0.0037373595513099,0.079823729424048,0.0670032605363767,False,0,,TGFB2/LTBP1/ACVR2B/MSX1/BMP6/TFAP2B/HSPA5/TET1/FBN1/SMAD6/SMAD3/AXIN1/TP53/GDF5
Arm FFM,GO Biological Process,GO:0007044,cell-substrate junction assembly,6/294,96/18986,6,0.0037904263218265,0.079823729424048,0.0670032605363767,False,0,,MACF1/LAMC1/CLASP2/PLEC/PTPRJ/SMAD3
Arm FFM,GO Biological Process,GO:0045429,positive regulation of nitric oxide biosynthetic process,4/294,42/18986,4,0.0039695761432494,0.079823729424048,0.0670032605363767,False,0,,ESR1/OPRM1/SMAD3/INSR
Arm FFM,GO Biological Process,GO:1902742,apoptotic process involved in development,4/294,42/18986,4,0.0039695761432494,0.079823729424048,0.0670032605363767,False,1,Leg FFM,TGFB2/SLIT3/BAK1/XKR6
Arm FFM,GO Biological Process,GO:0010566,regulation of ketone biosynthetic process,3/294,21/18986,3,0.0039755399841731,0.079823729424048,0.0670032605363767,False,1,Whole-body FFM,REST/BMP6/PRKG1
Arm FFM,GO Biological Process,GO:0055081,monoatomic anion homeostasis,3/294,21/18986,3,0.0039755399841731,0.079823729424048,0.0670032605363767,False,1,Trunk FFM,CPS1/TBXAS1/SLC12A4
Arm FFM,GO Biological Process,GO:0003018,vascular process in circulatory system,11/294,276/18986,11,0.0039759259241164,0.079823729424048,0.0670032605363767,False,0,,ECE1/CPS1/BMP6/TBXAS1/PLEC/PRKG1/PTPRJ/SLC7A1/EDNRB/ATP1B2/INSR
Arm FFM,GO Biological Process,GO:0009154,purine ribonucleotide catabolic process,7/294,129/18986,7,0.0039883743557057,0.079823729424048,0.0670032605363767,False,0,,MTOR/PDE1A/HINT1/MLXIPL/NT5C2/RPTOR/INSR
Arm FFM,GO Biological Process,GO:0150116,regulation of cell-substrate junction organization,5/294,68/18986,5,0.0040491180804623,0.080208353575708,0.067326110300829,False,2,Leg FFM;Whole-body FFM,MACF1/CLASP2/PIK3R1/PTPRJ/SMAD3
Arm FFM,GO Biological Process,GO:0001666,response to hypoxia,12/294,317/18986,12,0.0040515980168358,0.080208353575708,0.067326110300829,False,0,,MTOR/TGFB2/DNMT3A/REST/STC2/FOXO3/STC1/SMAD3/CIAO3/TP53/NF1/RPTOR
